contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,ticker,spot_price,historical_volatility,dividend_yield,expiry,days_to_expiry,time_to_maturity,moneyness,mid_price,market_price,bid_ask_spread,distance_from_atm,r,iv_used,iv_source,option_type_std,moneyness_label,intrinsic_value,time_value,eep_candidate,company_name,sector,data_as_of,bin_price,tri_price,bs_price,bin_eep,tri_eep,bin_err,tri_err,bs_err,bin_abs_err,tri_abs_err,bs_abs_err,bin_pct_err,tri_pct_err,bs_pct_err
AAPL260522C00270000,2026-04-30 19:59:53+00:00,270.0,9.25,0.0,0.0,0.0,0.0,829.0,0,1.0000000000000004e-05,True,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,0.9950248532406496,0.0,9.25,0.0,0.0049751467593504,0.0358500003814697,0.2339447408966455,hist_vol_fallback,call,ATM,1.350006103515625,7.899993896484375,False,Apple Inc.,Technology,2026-05-01,7.026313047460052,7.195453293818416,7.01978867086558,0.0065243765944718035,0.17566462295283625,-2.223686952539948,-2.0545467061815836,-2.23021132913442,2.223686952539948,2.0545467061815836,2.23021132913442,-24.03985894637782,-22.211315742503608,-24.110392747399136
AAPL260522C00275000,2026-04-30 19:59:45+00:00,275.0,6.75,0.0,0.0,0.0,0.0,924.0,0,0.01563484375,False,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,1.0134512394117727,0.0,6.75,0.0,0.0134512394117727,0.0358500003814697,0.01563484375,market_iv,call,ATM,0.0,6.75,False,Apple Inc.,Technology,2026-05-01,0.00027822709045614185,2.902995879597278e-05,0.00030288771910086387,0.0,0.0,-6.749721772909544,-6.749970970041204,-6.7496971122808995,6.749721772909544,6.749970970041204,6.7496971122808995,-99.99587811717842,-99.99956992653635,-99.99551277453185
AAPL260522C00265000,2026-04-30 19:55:00+00:00,265.0,12.23,0.0,0.0,0.0,0.0,149.0,0,1.0000000000000004e-05,True,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,0.9765984670695264,0.0,12.23,0.0,0.0234015329304735,0.0358500003814697,0.2339447408966455,hist_vol_fallback,call,ATM,6.350006103515625,5.879993896484375,False,Apple Inc.,Technology,2026-05-01,10.017285345538967,10.24700113946935,10.023513379489543,0.0,0.22348775997980752,-2.212714654461033,-1.9829988605306497,-2.206486620510457,2.212714654461033,1.9829988605306497,2.206486620510457,-18.092515572044423,-16.214217992891655,-18.041591336962036
AAPL260522C00280000,2026-04-30 19:59:51+00:00,280.0,4.79,0.0,0.0,0.0,0.0,707.0,0,0.0312596875,False,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,1.031877625582896,0.0,4.79,0.0,0.0318776255828958,0.0358500003814697,0.0312596875,market_iv,call,ITM,0.0,4.79,False,Apple Inc.,Technology,2026-05-01,1.688036825831246e-05,4.820263548202549e-06,1.9261234760510962e-05,0.0,0.0,-4.789983119631741,-4.789995179736452,-4.789980738765239,4.789983119631741,4.789995179736452,4.789980738765239,-99.99964759147684,-99.99989936819314,-99.99959788653943
AAPL260522C00260000,2026-04-30 19:57:38+00:00,260.0,15.0,0.0,0.0,0.0,0.0,31.0,0,1.0000000000000004e-05,True,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,0.9581720808984032,0.0,15.0,0.0,0.0418279191015966,0.0358500003814697,0.2339447408966455,hist_vol_fallback,call,OTM,11.350006103515623,3.649993896484375,False,Apple Inc.,Technology,2026-05-01,13.637052260725728,13.895388947949641,13.63326745930334,0.0037848014223875737,0.2621214886463008,-1.3629477392742722,-1.104611052050359,-1.3667325406966597,1.3629477392742722,1.104611052050359,1.3667325406966597,-9.086318261828481,-7.364073680335727,-9.111550271311065
AAPL260522C00285000,2026-04-30 19:59:53+00:00,285.0,3.3,0.0,0.0,0.0,0.0,398.0,0,0.062509375,False,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,1.050304011754019,0.0,3.3,0.0,0.0503040117540189,0.0358500003814697,0.062509375,market_iv,call,ITM,0.0,3.3,False,Apple Inc.,Technology,2026-05-01,0.0008690767122481994,0.0005597963664926288,0.0009260032104745908,0.0,0.0,-3.2991309232877515,-3.299440203633507,-3.299073996789525,3.2991309232877515,3.299440203633507,3.299073996789525,-99.97366434205308,-99.98303647374264,-99.97193929665228
AAPL260522C00255000,2026-04-30 17:02:28+00:00,255.0,19.76,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000004e-05,True,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,0.9397456947272802,0.0,19.76,0.0,0.0602543052727198,0.0358500003814697,0.2339447408966455,hist_vol_fallback,call,OTM,16.350006103515625,3.409993896484377,False,Apple Inc.,Technology,2026-05-01,17.748170027996682,18.041982184946068,17.749024882275194,0.0,0.2929573026708745,-2.0118299720033193,-1.7180178150539334,-2.010975117724808,2.0118299720033193,1.7180178150539334,2.010975117724808,-10.181325769247566,-8.6944221409612,-10.17699958362757
AAPL260522C00290000,2026-04-30 19:59:45+00:00,290.0,2.21,0.0,0.0,0.0,0.0,1210.0,0,0.062509375,False,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,1.068730397925142,0.0,2.21,0.0,0.0687303979251421,0.0358500003814697,0.062509375,market_iv,call,ITM,0.0,2.21,False,Apple Inc.,Technology,2026-05-01,6.101813437237534e-06,3.612142344631967e-06,7.253462064784905e-06,0.0,0.0,-2.2099938981865628,-2.209996387857655,-2.209992746537935,2.2099938981865628,2.209996387857655,2.209992746537935,-99.99972389984447,-99.99983655464503,-99.99967178904684
AAPL260522C00250000,2026-04-30 19:59:36+00:00,250.0,24.0,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000004e-05,True,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,0.921319308556157,0.0,24.0,0.0,0.078680691443843,0.0358500003814697,0.2339447408966455,hist_vol_fallback,call,OTM,21.350006103515625,2.649993896484375,False,Apple Inc.,Technology,2026-05-01,22.239770651829065,22.558136490247993,22.23968683080443,8.382102463500019e-05,0.3184496594435622,-1.7602293481709346,-1.4418635097520074,-1.7603131691955696,1.7602293481709346,1.4418635097520074,1.7603131691955696,-7.334288950712227,-6.007764623966697,-7.33463820498154
AAPL260522C00295000,2026-04-30 19:56:06+00:00,295.0,1.4,0.0,0.0,0.0,0.0,389.0,0,0.062509375,False,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,1.0871567840962653,0.0,1.4,0.0,0.0871567840962652,0.0358500003814697,0.062509375,market_iv,call,ITM,0.0,1.4,False,Apple Inc.,Technology,2026-05-01,1.1916704979111366e-08,7.63770337231492e-09,1.8383541801272856e-08,0.0,0.0,-1.399999988083295,-1.3999999923622966,-1.3999999816164581,1.399999988083295,1.3999999923622966,1.3999999816164581,-99.99999914880678,-99.99999945444976,-99.99999868688987
AAPL260522C00245000,2026-04-30 16:34:15+00:00,245.0,30.14,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000004e-05,True,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,0.9028929223850338,0.0,30.14,0.0,0.0971070776149661,0.0358500003814697,0.2339447408966455,hist_vol_fallback,call,OTM,26.350006103515625,3.789993896484376,False,Apple Inc.,Technology,2026-05-01,26.973730192510338,27.309426000413833,26.97517566526207,0.0,0.3342503351517614,-3.1662698074896625,-2.830573999586168,-3.1648243347379292,3.1662698074896625,2.830573999586168,3.1648243347379292,-10.50520838583166,-9.391420038441167,-10.500412524014363
