ticker,n_contracts,avg_market_price,avg_bin_price,avg_tri_price,avg_bs_price,bin_mae,tri_mae,bs_mae,bin_mape,tri_mape,avg_bin_eep,avg_tri_eep,max_bin_eep,max_tri_eep,n_positive_eep
AAPL,84,11.0448,8.7186,8.785,8.6864,2.3652,2.2915,2.3908,57.7424,57.4912,0.0326,0.1186,0.6195,0.6195,24
JPM,78,10.9904,9.3128,9.4042,9.2932,1.934,1.947,1.9512,56.3709,56.4084,0.0197,0.1484,0.3856,0.6796,24
MSFT,120,17.6347,14.42,14.4929,14.3563,3.9449,3.9538,3.9751,52.4993,52.5623,0.0642,0.1981,0.5729,1.0953,48
NVDA,72,12.4782,9.2354,9.3693,9.207,3.2428,3.1089,3.2712,53.2257,52.7064,0.0288,0.2677,0.2391,1.4095,26
TSLA,120,21.4037,18.7492,19.1293,18.7058,4.9013,5.7653,4.8886,50.2704,52.5015,0.0441,1.0587,0.302,5.808,54
