ticker,company_name,sector,spot_price,historical_volatility,dividend_yield,r,n_contracts,n_calls,n_puts,n_expiries,expiry_dates,ttm_min,ttm_max,strike_min,strike_max,n_itm,n_atm,n_otm,eep_candidate_count,avg_market_price,avg_bid_ask_spread,iv_fallback_count
AAPL,Apple Inc.,Technology,271.3500061035156,0.2339447408966455,0.0038326883235936,0.035850000381469724,84,47,37,3,"['2026-05-22', '2026-05-29', '2026-06-05']",0.0575342465753424,0.0958904109589041,235.0,310.0,39,18,27,37,11.044761904761904,0.0,40
JPM,JPMorgan Chase & Co.,Financials,313.2300109863281,0.2118136859424178,0.0188359984454284,0.035850000381469724,78,43,35,3,"['2026-05-22', '2026-05-29', '2026-06-05']",0.0575342465753424,0.0958904109589041,270.0,360.0,34,22,22,52,10.990384615384617,0.0,38
MSFT,Microsoft Corp.,Technology,407.7799987792969,0.2391426453723407,0.0085340134641657,0.035850000381469724,120,60,60,3,"['2026-05-22', '2026-05-29', '2026-06-05']",0.0575342465753424,0.0958904109589041,360.0,460.0,46,30,44,60,17.634666666666664,0.0,65
NVDA,NVIDIA Corp.,Technology,199.57000732421875,0.3384348006616123,0.0002004309191361,0.035850000381469724,72,36,36,3,"['2026-05-22', '2026-05-29', '2026-06-05']",0.0575342465753424,0.0958904109589041,170.0,225.0,27,18,27,36,12.478194444444446,0.0,39
TSLA,Tesla Inc.,Consumer Disc.,381.6300048828125,0.4748701831761241,0.0,0.035850000381469724,120,60,60,3,"['2026-05-22', '2026-05-29', '2026-06-05']",0.0575342465753424,0.0958904109589041,335.0,430.0,48,24,48,0,21.403666666666666,0.0,66
